Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Booster,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity,Date
2021.0,2.0,48.13269893731711,0.451276746800286,0.94,0.8757888390354855,0.02303760942969737,0.0,4950.0,6593.0,722.4285714285714,143.05415162454872,14092.857142857143,3,2021-01-17
2021.0,2.0,48.00234263588499,0.4529552733554623,0.94,0.9568180455299237,0.04181799470547594,0.0,4984.0,9154.0,715.2857142857143,137.85078219013238,13848.095238095239,3,2021-01-18
2021.0,2.0,47.87198633445289,0.4542654745442326,0.94,1.057414363662577,0.08521064508133325,0.0,4930.0,18457.0,696.4285714285714,132.88447653429603,13613.047619047618,3,2021-01-19
2021.0,2.0,47.74163003302078,0.4552073503665969,0.94,1.1524470588192837,0.1498990397908511,0.0,4816.0,19487.0,668.2857142857143,127.33574007220217,13397.238095238094,3,2021-01-20
2021.0,3.0,47.74163003302078,0.4557809008225551,0.93,1.2301597445473036,0.19913800533710835,0.0,4767.0,16806.0,634.7142857142857,123.01684717208182,13193.809523809523,3,2021-01-21
2021.0,3.0,47.61127373158867,0.45638141130717635,0.93,1.3128502187887217,0.23954614790684173,0.0,4749.0,15024.0,608.0,119.08423586040915,12992.476190476193,3,2021-01-22
2021.0,3.0,47.48091743015657,0.4570088818204604,0.92,1.3615695118753879,0.29553965248227504,0.0,4639.0,11571.0,594.8571428571429,116.83754512635379,12799.714285714286,3,2021-01-23
2021.0,3.0,47.35056112872446,0.45766331236240737,0.91,1.3924671672564006,0.32216805425428596,0.0,4607.0,5018.0,579.1428571428571,114.94223826714801,12623.142857142857,3,2021-01-24
2021.0,3.0,47.220204827292356,0.4583447029330171,0.9,1.4553487378124328,0.36877136619183,0.0,4604.0,6744.0,563.4285714285714,112.04211793020457,12424.476190476193,3,2021-01-25
2021.0,3.0,47.08984852586024,0.4590530535322898,0.88,1.5162983778821146,0.4261963759221555,0.0,4559.0,15509.0,537.2857142857143,108.49458483754513,12243.904761904763,3,2021-01-26
2021.0,3.0,46.95949222442813,0.45978836416022545,0.88,1.5775704073480243,0.4965458321937931,0.0,4487.0,15819.0,516.1428571428571,104.0806257521059,12043.523809523811,3,2021-01-27
2021.0,4.0,46.95949222442813,0.4605506348168239,0.89,1.6338838954286687,0.5515445008338518,0.0,4428.0,13354.0,483.0,99.9265944645006,11821.42857142857,3,2021-01-28
2021.0,4.0,46.82913592299603,0.4614125713758824,0.89,1.6938206553803512,0.6211818133645682,0.0,4367.0,12559.0,460.7142857142857,96.96028880866426,11596.095238095237,3,2021-01-29
2021.0,4.0,46.69877962156392,0.46237417383740115,0.9,1.7354545994230552,0.6855357892227751,0.0,4342.0,9939.0,440.85714285714283,94.99638989169675,11369.714285714286,3,2021-01-30
