Date,Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity
2020-12-23,2020.0,51.0,47.15983825771714,0.4819165746792712,0.85,0.0,0.0,10452,26783,956.1428571428571,200.51143200962696,51768,3
2020-12-24,2020.0,52.0,47.445552543431425,0.4816325605645392,0.83,0.0,0.0,10660,19648,908.7142857142857,190.8146811070999,52368,3
2020-12-25,2020.0,52.0,47.49835717978443,0.48135129141959954,0.83,0.0,0.0,10728,14530,852.8571428571429,175.93622141997594,48984,3
2020-12-26,2020.0,52.0,47.54692097135311,0.48107282539838125,0.86,0.0,0.0,11040,15122,837.0,168.8748495788207,44616,3
2020-12-27,2020.0,52.0,47.591201928381494,0.4807972202973791,0.89,24344.0,0.0,11092,14469,821.8571428571429,165.64139590854393,43868,3
2020-12-28,2020.0,52.0,47.63116202037177,0.4805245335458741,0.93,42383.0,0.0,11164,20567,820.1428571428571,163.2214199759326,44472,3
2020-12-29,2020.0,52.0,47.66676729073004,0.48025482219615423,0.95,92455.0,0.0,11274,22503,826.4285714285714,160.79663056558363,44576,3
2020-12-30,2020.0,52.0,47.697987971412104,0.47998814291373504,0.95,156552.0,0.0,11260,23581,824.1428571428571,156.94344163658243,45340,3
2020-12-31,2020.0,53.0,47.84084511426925,0.4797040124580132,0.95,206476.0,0.0,11244,17249,814.5714285714286,154.05655836341757,44856,3
2021-01-01,2020.0,53.0,47.86322463864581,0.47942302620118876,0.97,231969.0,0.0,11166,13144,802.1428571428571,152.3886883273165,45244,3
2021-01-02,2020.0,53.0,47.88115653928643,0.479145239589784,0.98,279977.0,0.0,11406,14123,792.4285714285714,151.18652226233453,44764,3
2021-01-03,2020.0,53.0,47.89462890419456,0.47887070764443157,0.99,302532.0,0.0,11490,13607,787.4285714285714,150.14921780986762,44568,3
2021-01-04,2020.0,53.0,47.903634486500536,0.47859948495009524,0.99,348621.0,0.0,11446,18988,760.4285714285714,148.24909747292418,44232,3
2021-01-05,2020.0,53.0,47.908170729890344,0.47833162564629017,1.0,401229.0,0.0,11300,21779,739.2857142857143,147.37785800240673,43600,3
2021-01-06,2020.0,53.0,47.90823976429563,0.4780671834173038,1.01,464294.0,0.0,11104,21172,704.1428571428571,144.4789410348977,42112,3
2021-01-07,2021.0,1.0,47.76538262143849,0.4778767241347698,1.02,519065.0,0.0,10948,20049,726.0,147.84837545126354,40784,3
2021-01-08,2021.0,1.0,47.756542172915985,0.4776897878908291,1.0,581780.0,0.0,10934,20174,770.4285714285714,156.30806257521058,42812,3
2021-01-09,2021.0,1.0,47.74326854117536,0.47750642694541007,0.96,642365.0,0.0,10796,14993,766.0,157.35499398315284,46480,3
2021-01-10,2021.0,1.0,47.725582007859586,0.47732669306409586,0.91,678231.0,0.0,10600,11300,760.1428571428571,154.57882069795428,46396,3
2021-01-11,2021.0,1.0,47.703507169874264,0.47715063750834535,0.88,746441.0,0.0,10534,15996,742.1428571428571,150.9783393501805,44992,3
2021-01-12,2021.0,1.0,47.677072845860756,0.47697831102571386,0.88,825504.0,0.0,10418,18314,726.2857142857143,146.8086642599278,43944,3
2021-01-13,2021.0,1.0,47.64631198266919,0.4768097638400733,0.88,937454.0,0.0,10328,19045,727.5714285714286,144.24909747292418,42800,3
2021-01-14,2021.0,2.0,47.64631198266919,0.47676082449492535,0.9,1021347.0,0.0,10208,16876,721.1428571428571,140.43080625752106,42288,3
2021-01-15,2021.0,2.0,47.60701292687268,0.476715763284346,0.92,1112225.0,919.0,10100,16150,709.8571428571429,135.5884476534296,41400,3
2021-01-16,2021.0,2.0,47.56351000643228,0.4766746288024823,0.93,1169066.0,2141.0,9984,13120,703.2857142857143,133.33453670276774,40408,3
2021-01-17,2021.0,2.0,47.515851745764245,0.4766374690806807,0.94,1199855.0,19153.0,9900,9705,694.5714285714286,131.41516245487364,39960,3
2021-01-18,2021.0,2.0,47.46409032985905,0.47660433157770793,0.94,1267213.0,34785.0,9968,13342,690.5714285714286,128.2214199759326,39864,3
2021-01-19,2021.0,2.0,47.40828151075441,0.47657526316997173,0.94,1350837.0,70869.0,9860,15600,675.1428571428571,124.95547533092659,39024,3
2021-01-20,2021.0,2.0,47.34848451400853,0.47655031014174154,0.94,1429838.0,124651.0,9632,15860,652.0,121.12274368231047,38300,3
2021-01-21,2021.0,3.0,47.34848451400853,0.4765344229541285,0.93,1494450.0,165582.0,9534,14148,626.0,117.83995186522262,38048,3
2021-01-22,2021.0,3.0,47.28090226510164,0.4765227418990274,0.93,1563186.0,199180.0,9498,13284,604.2857142857143,114.39109506618531,37200,3
2021-01-23,2021.0,3.0,47.20952942108115,0.4765153114256165,0.92,1603681.0,245732.0,9278,11041,589.5714285714286,111.8892900120337,36380,3
2021-01-24,2021.0,3.0,47.13443816631765,0.47651217535181806,0.91,1629366.0,267872.0,9214,7732,568.4285714285714,109.51504211793021,36264,3
2021-01-25,2021.0,3.0,47.055703691067514,0.4765133768545195,0.9,1681636.0,306613.0,9208,10389,545.4285714285714,105.96149217809868,35700,3
2021-01-26,2021.0,3.0,46.973404097946,0.4765189584597938,0.88,1732304.0,354347.0,9118,13013,512.7142857142857,102.84837545126354,35240,3
2021-01-27,2021.0,3.0,46.88762030840034,0.47652896203312,0.88,1783241.0,412825.0,8974,12552,483.14285714285717,98.8676293622142,34088,3
2021-01-28,2021.0,4.0,46.88762030840034,0.47652217666623864,0.89,1830054.0,458541.0,8856,11278,455.57142857142856,95.41395908543923,33380,3
2021-01-29,2021.0,4.0,46.79512169804136,0.4765198949774691,0.89,1879875.0,516425.0,8734,11155,429.85714285714283,92.85198555956678,32468,3
2021-01-30,2021.0,4.0,46.69939763332262,0.4765221567918333,0.9,1914481.0,569920.0,8684,9444,417.2857142857143,90.93020457280385,31620,3
2021-01-31,2021.0,4.0,46.60053937575003,0.4765290012346421,0.89,1940240.0,601384.0,8674,6359,404.14285714285717,89.27797833935018,30624,3
2021-02-01,2021.0,4.0,46.49864053802696,0.47654046672171624,0.89,1998496.0,663266.0,8626,8874,390.85714285714283,87.45487364620939,30292,3
2021-02-02,2021.0,4.0,46.39379699052721,0.4765565909496062,0.9,2064019.0,730549.0,8504,10312,373.2857142857143,84.20457280385078,29588,3
2021-02-03,2021.0,4.0,46.286106767768146,0.47657741088581373,0.89,2128598.0,828946.0,8414,10843,360.0,82.14801444043322,28856,3
2021-02-04,2021.0,5.0,46.00039248205386,0.47664017323670027,0.89,2190673.0,901448.0,8340,9425,349.14285714285717,79.91817087845969,27716,3
2021-02-05,2021.0,5.0,45.8873112012679,0.47670770300464327,0.89,2260038.0,979631.0,8132,8868,333.0,77.16606498194946,27384,3
2021-02-06,2021.0,5.0,45.77168939836687,0.47678003491132115,0.89,2305635.0,1028180.0,7916,7686,319.14285714285717,75.05054151624549,26604,3
2021-02-07,2021.0,5.0,45.65363282917318,0.47685720291024614,0.88,2333924.0,1053456.0,7852,5015,313.0,73.4332129963899,26328,3
2021-02-08,2021.0,5.0,45.533248946018205,0.47693924017698436,0.88,2386954.0,1109902.0,7902,6939,297.2857142857143,71.10469314079423,25956,3
2021-02-09,2021.0,5.0,45.410646804215375,0.4770261790993772,0.88,2447188.0,1184254.0,7680,8045,284.2857142857143,68.37665463297232,25088,3
2021-02-10,2021.0,5.0,45.28593696853324,0.47711805126776147,0.89,2524967.0,1261975.0,7464,8563,265.42857142857144,65.63297232250301,23948,3
2021-02-11,2021.0,6.0,45.143079825676104,0.4772669504746597,0.91,2600517.0,1330973.0,7336,7772,251.28571428571428,63.643802647412755,23176,3
2021-02-12,2021.0,6.0,45.01449186662428,0.4774208436765925,0.94,2680776.0,1406938.0,7092,7894,240.85714285714286,62.47172081829122,21992,3
2021-02-13,2021.0,6.0,44.88413602627616,0.4775797600127074,0.97,2742828.0,1452734.0,6958,6293,234.14285714285714,60.79542719614922,21476,3
2021-02-14,2021.0,6.0,44.752127953462036,0.4777437277855304,0.99,2782457.0,1478564.0,6834,5386,230.28571428571428,61.24187725631769,20808,3
2021-02-15,2021.0,6.0,44.618584298771914,0.47791277445118624,1.01,2852631.0,1534239.0,6852,7258,227.71428571428572,61.62575210589651,20900,3
2021-02-16,2021.0,6.0,44.483622584049364,0.4780869266096193,1.03,2930988.0,1590704.0,6684,8372,223.28571428571428,62.01925391095066,20708,3
2021-02-17,2021.0,6.0,44.34736105955893,0.4782662099948142,1.05,3026406.0,1647145.0,6478,8745,221.71428571428572,62.238267148014444,20832,3
2021-02-18,2021.0,7.0,44.20450391670179,0.4784576451728874,1.06,3117943.0,1700477.0,6338,8349,217.14285714285714,62.93261131167268,20496,3
2021-02-19,2021.0,7.0,44.06599964913456,0.4786542604086953,1.07,3221093.0,1756405.0,6228,8389,214.0,63.52827918170878,20600,3
2021-02-20,2021.0,7.0,43.926553083081444,0.4788560787796671,1.06,3297259.0,1792725.0,6136,7815,212.71428571428572,65.3598074608905,20364,3
2021-02-21,2021.0,7.0,43.7862837261266,0.4790631224581552,1.05,3354971.0,1821028.0,6098,5378,212.14285714285714,65.35018050541517,20828,3
2021-02-22,2021.0,7.0,43.64531095527699,0.4792754127016554,1.04,3453264.0,1879401.0,6106,7563,209.57142857142858,65.71720818291216,20616,3
2021-02-23,2021.0,7.0,43.50375383715056,0.47949296984302797,1.02,3563259.0,1939976.0,6060,8979,200.57142857142858,66.4476534296029,20548,3
